,项目,商品,增加值,存款,完成,实现,投资,提高,支出,收入额,消费量,用电量,贷款,零售额
0,工业,,3925.18亿元,,,,,,,,,,,
0,建筑业,,1574.48亿元,,,,,,,,,,,
0,零售业,,1334.62亿元,,,,,,,,,,,
0,金融业,,981.86亿元,,,,,,,,,,,
0,生产总值,,,,13717.88亿元,,,,,,,,,
0,三季度,,,,,,,0.4个百分点,,,,,,
0,第一产业,,,,2055.71亿元,,,,,,,,,
0,第二产业,,,,5492.76亿元,,,,,,,,,
0,第三产业,,,,6169.41亿元,,,,,,,,,
0,农业,,1230.75亿元,,,,,,,,,,,
0,林业,,216.11亿元,,,,,,,,,,,
0,牧业,,559.98亿元,,,,,,,,,,,
0,渔业,,48.88亿元,,,,,,,,,,,
0,农林牧渔,,42.48亿元,,,,,,,,,,,
0,农林牧渔业,,,,3383.09亿元,,,,,,,,,
0,制造业,,2731.98亿元,,,,,,,,,,,
0,烟草制品业,,1300.17亿元,,,,,,,,,,,
0,煤炭开采及洗选业,,115.55亿元,,,,,,,,,,,
0,有色金属冶炼及压延加工业,,313.98亿元,,,,,,,,,,,
0,有色金属矿采选业,,112.78亿元,,,,,,,,,,,
0,农副食品制造业,,143.46亿元,,,,,,,,,,,
0,非烟业,,,,2322.91亿元,,,,,,,,,
0,工业综合能源,,,,,,,,,,6285.58万吨,,,
0,全社会,,,,,,,,,,,1438.61亿千瓦时,,
0,工业,,,,,,,,,,,950.15亿千瓦时,,
0,农户,,,,13069.39亿元,,,,,,,,,
0,第一产业,,,,,,499.92亿元,,,,,,,
0,第二产业,,,,,,3145.92亿元,,,,,,,
0,第三产业,,,,,,9423.55亿元,,,,,,,
0,商品住宅,,,,1670.27亿元,,,,,,,,,
0,民间投资,,,,5612.73亿元,,,,,,,,,
0,重点行业,,,,,,9381.80亿元,,,,,,,
0,工业,,,,3145.19亿元,,,,,,,,,
0,国内,,,,,,,,,,,,1497.40亿元,
0,零售额,,,,,2659.17亿元,,,,,,,,
0,零售总额,,,,5103.15亿元,,,,,,,,,
0,消费品,,,,,,,,,,,,,4405.81亿元
0,零售额,,,,,697.34亿元,,,,,,,,
0,餐饮,,,,,,,,,744.10亿元,,,,
0,零售额,4359.06亿元,,,,,,,,,,,,
0,零售额,347.69亿元,,,,,,,,,,,,
0,零售额,104.10亿元,,,,,,,,,,,,
0,鞋帽,131.69亿元,,,,,,,,,,,,
0,日用品,97.13亿元,,,,,,,,,,,,
0,金银珠宝,93.53亿元,,,,,,,,,,,,
0,中西药,130.67亿元,,,,,,,,,,,,
0,汽车,734.20亿元,,,,,,,,,,,,
0,税收收入,,,,1210.54亿元,,,,,,,,,
0,公共财政,,,,,,,,4712.90亿元,,,,,
0,公共服务,,,,,,,,388.37亿元,,,,,
0,教育,,,,,,,,767.26亿元,,,,,
0,计划生育,,,,,,,,422.75亿元,,,,,
0,就业,,,,,,,,648.28亿元,,,,,
0,交通运输,,,,,,,,603.94亿元,,,,,
0,农林,,,,,,,,641.84亿元,,,,,
0,非金融,,,6863.46亿元,,,,,,,,,,
